tipo_tarifa,origen,destino,tarifa
estudiante_sin_subsidio,Quillem,Cajon,750.0
estudiante_sin_subsidio,Quillem,Temuco,1500.0
estudiante_sin_subsidio,Quillem,PLC,1800.0
estudiante_sin_subsidio,Quillem,Quepe,1900.0
estudiante_sin_subsidio,Quillem,Freire,2500.0
estudiante_sin_subsidio,Quillem,Pitrufquén,2600.0
estudiante_sin_subsidio,Lautaro,Victoria,1500.0
estudiante_sin_subsidio,Lautaro,PUA,1400.0
estudiante_sin_subsidio,Lautaro,Perquenco,1200.0
estudiante_sin_subsidio,Lautaro,Quillem,1200.0
estudiante_sin_subsidio,Lautaro,Lautaro,0.0
estudiante_sin_subsidio,Lautaro,L. Centro,500.0
estudiante_sin_subsidio,Lautaro,Pillanlelbun,1200.0
estudiante_sin_subsidio,Lautaro,Coleg. Claret,0.0
estudiante_sin_subsidio,Lautaro,Cajon,650.0
estudiante_sin_subsidio,Lautaro,Temuco,1350.0
estudiante_sin_subsidio,Lautaro,PLC,1700.0
estudiante_sin_subsidio,Lautaro,Quepe,1800.0
estudiante_sin_subsidio,Lautaro,Freire,2400.0
estudiante_sin_subsidio,Lautaro,Pitrufquén,2500.0
estudiante_sin_subsidio,L. Centro,Victoria,1500.0
estudiante_sin_subsidio,L. Centro,PUA,1400.0
estudiante_sin_subsidio,L. Centro,Perquenco,1200.0
estudiante_sin_subsidio,L. Centro,Quillem,1200.0
estudiante_sin_subsidio,L. Centro,Lautaro,500.0
estudiante_sin_subsidio,L. Centro,L. Centro,0.0
estudiante_sin_subsidio,L. Centro,Pillanlelbun,1200.0
estudiante_sin_subsidio,L. Centro,Coleg. Claret,0.0
estudiante_sin_subsidio,L. Centro,Cajon,650.0
estudiante_sin_subsidio,L. Centro,Temuco,1350.0
estudiante_sin_subsidio,L. Centro,PLC,1700.0
estudiante_sin_subsidio,L. Centro,Quepe,1800.0
estudiante_sin_subsidio,L. Centro,Freire,2400.0
estudiante_sin_subsidio,L. Centro,Pitrufquén,2500.0
estudiante_sin_subsidio,Pillanlelbun,Victoria,1600.0
estudiante_sin_subsidio,Pillanlelbun,PUA,1500.0
estudiante_sin_subsidio,Pillanlelbun,Perquenco,1400.0
estudiante_sin_subsidio,Pillanlelbun,Quillem,1400.0
estudiante_sin_subsidio,Pillanlelbun,Lautaro,1200.0
estudiante_sin_subsidio,Pillanlelbun,L. Centro,1200.0
estudiante_sin_subsidio,Pillanlelbun,Pillanlelbun,0.0
estudiante_sin_subsidio,Pillanlelbun,Coleg. Claret,0.0
estudiante_sin_subsidio,Pillanlelbun,Cajon,650.0
estudiante_sin_subsidio,Pillanlelbun,Temuco,1300.0
estudiante_sin_subsidio,Pillanlelbun,PLC,1550.0
estudiante_sin_subsidio,Pillanlelbun,Quepe,1700.0
estudiante_sin_subsidio,Pillanlelbun,Freire,2250.0
estudiante_sin_subsidio,Pillanlelbun,Pitrufquén,2400.0
estudiante_sin_subsidio,Coleg. Claret,Victoria,0.0
estudiante_sin_subsidio,Coleg. Claret,PUA,0.0
estudiante_sin_subsidio,Coleg. Claret,Perquenco,0.0
estudiante_sin_subsidio,Coleg. Claret,Quillem,0.0
estudiante_sin_subsidio,Coleg. Claret,Lautaro,0.0
estudiante_sin_subsidio,Coleg. Claret,L. Centro,0.0
estudiante_sin_subsidio,Coleg. Claret,Pillanlelbun,0.0
estudiante_sin_subsidio,Coleg. Claret,Coleg. Claret,0.0
estudiante_sin_subsidio,Coleg. Claret,Cajon,0.0
estudiante_sin_subsidio,Coleg. Claret,Temuco,1100.0
estudiante_sin_subsidio,Coleg. Claret,PLC,0.0
estudiante_sin_subsidio,Coleg. Claret,Quepe,0.0
estudiante_sin_subsidio,Coleg. Claret,Freire,0.0
estudiante_sin_subsidio,Coleg. Claret,Pitrufquén,0.0
estudiante_sin_subsidio,Cajon,Victoria,950.0
estudiante_sin_subsidio,Cajon,PUA,900.0
estudiante_sin_subsidio,Cajon,Perquenco,900.0
estudiante_sin_subsidio,Cajon,Quillem,750.0
estudiante_sin_subsidio,Cajon,Lautaro,650.0
estudiante_sin_subsidio,Cajon,L. Centro,650.0
estudiante_sin_subsidio,Cajon,Pillanlelbun,650.0
estudiante_sin_subsidio,Cajon,Coleg. Claret,0.0
estudiante_sin_subsidio,Cajon,Cajon,0.0
estudiante_sin_subsidio,Cajon,Temuco,650.0
estudiante_sin_subsidio,Cajon,PLC,1400.0
estudiante_sin_subsidio,Cajon,Quepe,1550.0
estudiante_sin_subsidio,Cajon,Freire,2100.0
estudiante_sin_subsidio,Cajon,Pitrufquén,2250.0
estudiante_sin_subsidio,Temuco,Victoria,1950.0
estudiante_sin_subsidio,Temuco,PUA,1600.0
estudiante_sin_subsidio,Temuco,Perquenco,1500.0
estudiante_sin_subsidio,Temuco,Quillem,1500.0
estudiante_sin_subsidio,Temuco,Lautaro,1350.0
estudiante_sin_subsidio,Temuco,L. Centro,1350.0
estudiante_sin_subsidio,Temuco,Pillanlelbun,1300.0
estudiante_sin_subsidio,Temuco,Coleg. Claret,1100.0
estudiante_sin_subsidio,Temuco,Cajon,650.0
estudiante_sin_subsidio,Temuco,Temuco,0.0
estudiante_sin_subsidio,Temuco,PLC,750.0
estudiante_sin_subsidio,Temuco,Quepe,900.0
estudiante_sin_subsidio,Temuco,Freire,1450.0
estudiante_sin_subsidio,Temuco,Pitrufquén,1550.0
estudiante_sin_subsidio,PLC,Victoria,2050.0
estudiante_sin_subsidio,PLC,PUA,1800.0
estudiante_sin_subsidio,PLC,Perquenco,1800.0
estudiante_sin_subsidio,PLC,Quillem,1800.0
estudiante_sin_subsidio,PLC,Lautaro,1700.0
estudiante_sin_subsidio,PLC,L. Centro,1700.0
estudiante_sin_subsidio,PLC,Pillanlelbun,1550.0
estudiante_sin_subsidio,PLC,Coleg. Claret,0.0
estudiante_sin_subsidio,PLC,Cajon,1400.0
estudiante_sin_subsidio,PLC,Temuco,750.0
estudiante_sin_subsidio,PLC,PLC,0.0
estudiante_sin_subsidio,PLC,Quepe,650.0
estudiante_sin_subsidio,PLC,Freire,1400.0
estudiante_sin_subsidio,PLC,Pitrufquén,1550.0
estudiante_sin_subsidio,Quepe,Victoria,2150.0
estudiante_sin_subsidio,Quepe,PUA,1900.0
estudiante_sin_subsidio,Quepe,Perquenco,1900.0
estudiante_sin_subsidio,Quepe,Quillem,1900.0
estudiante_sin_subsidio,Quepe,Lautaro,1800.0
estudiante_sin_subsidio,Quepe,L. Centro,1800.0
estudiante_sin_subsidio,Quepe,Pillanlelbun,1700.0
estudiante_sin_subsidio,Quepe,Coleg. Claret,0.0
estudiante_sin_subsidio,Quepe,Cajon,1550.0
estudiante_sin_subsidio,Quepe,Temuco,900.0
estudiante_sin_subsidio,Quepe,PLC,650.0
estudiante_sin_subsidio,Quepe,Quepe,0.0
estudiante_sin_subsidio,Quepe,Freire,600.0
estudiante_sin_subsidio,Quepe,Pitrufquén,700.0
estudiante_sin_subsidio,Freire,Victoria,2750.0
estudiante_sin_subsidio,Freire,PUA,2500.0
estudiante_sin_subsidio,Freire,Perquenco,2500.0
estudiante_sin_subsidio,Freire,Quillem,2500.0
estudiante_sin_subsidio,Freire,Lautaro,2400.0
estudiante_sin_subsidio,Freire,L. Centro,2400.0
estudiante_sin_subsidio,Freire,Pillanlelbun,2250.0
estudiante_sin_subsidio,Freire,Coleg. Claret,0.0
estudiante_sin_subsidio,Freire,Cajon,2100.0
estudiante_sin_subsidio,Freire,Temuco,1450.0
estudiante_sin_subsidio,Freire,PLC,1400.0
estudiante_sin_subsidio,Freire,Quepe,600.0
estudiante_sin_subsidio,Freire,Freire,0.0
estudiante_sin_subsidio,Freire,Pitrufquén,650.0
estudiante_sin_subsidio,Pitrufquén,Victoria,2900.0
estudiante_sin_subsidio,Pitrufquén,PUA,2600.0
estudiante_sin_subsidio,Pitrufquén,Perquenco,2600.0
estudiante_sin_subsidio,Pitrufquén,Quillem,2600.0
estudiante_sin_subsidio,Pitrufquén,Lautaro,2500.0
estudiante_sin_subsidio,Pitrufquén,L. Centro,2500.0
estudiante_sin_subsidio,Pitrufquén,Pillanlelbun,2400.0
estudiante_sin_subsidio,Pitrufquén,Coleg. Claret,0.0
estudiante_sin_subsidio,Pitrufquén,Cajon,2250.0
estudiante_sin_subsidio,Pitrufquén,Temuco,1550.0
estudiante_sin_subsidio,Pitrufquén,PLC,1550.0
estudiante_sin_subsidio,Pitrufquén,Quepe,700.0
estudiante_sin_subsidio,Pitrufquén,Freire,650.0
estudiante_sin_subsidio,Pitrufquén,Pitrufquén,0.0
