tipo_tarifa,origen,destino,tarifa
normal,Quepe,Quepe,0.0
normal,Quepe,Freire,550.0
normal,Quepe,Pitrufquén,650.0
normal,Freire,Victoria,2550.0
normal,Freire,PUA,2300.0
normal,Freire,Perquenco,2300.0
normal,Freire,Quillem,2300.0
normal,Freire,Lautaro,2200.0
normal,Freire,L. Centro,2200.0
normal,Freire,Pillanlelbun,2100.0
normal,Freire,Coleg. Claret,0.0
normal,Freire,Cajon,1950.0
normal,Freire,Temuco,1350.0
normal,Freire,PLC,1300.0
normal,Freire,Quepe,550.0
normal,Freire,Freire,0.0
normal,Freire,Pitrufquén,600.0
normal,Pitrufquén,Victoria,2650.0
normal,Pitrufquén,PUA,2400.0
normal,Pitrufquén,Perquenco,2400.0
normal,Pitrufquén,Quillem,2400.0
normal,Pitrufquén,Lautaro,2300.0
normal,Pitrufquén,L. Centro,2300.0
normal,Pitrufquén,Pillanlelbun,2200.0
normal,Pitrufquén,Coleg. Claret,0.0
normal,Pitrufquén,Cajon,2050.0
normal,Pitrufquén,Temuco,1450.0
normal,Pitrufquén,PLC,1400.0
normal,Pitrufquén,Quepe,650.0
normal,Pitrufquén,Freire,600.0
normal,Pitrufquén,Pitrufquén,0.0
estudiante,Victoria,Victoria,0.0
estudiante,Victoria,PUA,350.0
estudiante,Victoria,Perquenco,450.0
estudiante,Victoria,Quillem,450.0
estudiante,Victoria,Lautaro,450.0
estudiante,Victoria,L. Centro,450.0
estudiante,Victoria,Pillanlelbun,500.0
estudiante,Victoria,Coleg. Claret,0.0
estudiante,Victoria,Cajon,300.0
estudiante,Victoria,Temuco,600.0
estudiante,Victoria,PLC,650.0
estudiante,Victoria,Quepe,650.0
estudiante,Victoria,Freire,850.0
estudiante,Victoria,Pitrufquén,900.0
estudiante,PUA,Victoria,350.0
estudiante,PUA,PUA,0.0
estudiante,PUA,Perquenco,400.0
estudiante,PUA,Quillem,400.0
estudiante,PUA,Lautaro,450.0
estudiante,PUA,L. Centro,450.0
estudiante,PUA,Pillanlelbun,450.0
estudiante,PUA,Coleg. Claret,0.0
estudiante,PUA,Cajon,250.0
estudiante,PUA,Temuco,500.0
estudiante,PUA,PLC,550.0
estudiante,PUA,Quepe,600.0
estudiante,PUA,Freire,750.0
estudiante,PUA,Pitrufquén,800.0
estudiante,Perquenco,Victoria,450.0
estudiante,Perquenco,PUA,400.0
estudiante,Perquenco,Perquenco,0.0
estudiante,Perquenco,Quillem,350.0
estudiante,Perquenco,Lautaro,350.0
estudiante,Perquenco,L. Centro,350.0
estudiante,Perquenco,Pillanlelbun,450.0
estudiante,Perquenco,Coleg. Claret,0.0
estudiante,Perquenco,Cajon,250.0
estudiante,Perquenco,Temuco,450.0
estudiante,Perquenco,PLC,550.0
estudiante,Perquenco,Quepe,600.0
estudiante,Perquenco,Freire,750.0
estudiante,Perquenco,Pitrufquén,800.0
estudiante,Quillem,Victoria,450.0
estudiante,Quillem,PUA,400.0
estudiante,Quillem,Perquenco,350.0
estudiante,Quillem,Quillem,0.0
estudiante,Quillem,Lautaro,350.0
estudiante,Quillem,L. Centro,350.0
estudiante,Quillem,Pillanlelbun,450.0
estudiante,Quillem,Coleg. Claret,0.0
estudiante,Quillem,Cajon,250.0
estudiante,Quillem,Temuco,450.0
estudiante,Quillem,PLC,550.0
estudiante,Quillem,Quepe,600.0
estudiante,Quillem,Freire,750.0
estudiante,Quillem,Pitrufquén,800.0
estudiante,Lautaro,Victoria,450.0
estudiante,Lautaro,PUA,450.0
estudiante,Lautaro,Perquenco,350.0
estudiante,Lautaro,Quillem,350.0
estudiante,Lautaro,Lautaro,0.0
estudiante,Lautaro,L. Centro,350.0
estudiante,Lautaro,Pillanlelbun,350.0
estudiante,Lautaro,Coleg. Claret,0.0
estudiante,Lautaro,Cajon,200.0
estudiante,Lautaro,Temuco,450.0
estudiante,Lautaro,PLC,500.0
estudiante,Lautaro,Quepe,550.0
estudiante,Lautaro,Freire,750.0
estudiante,Lautaro,Pitrufquén,750.0
estudiante,L. Centro,Victoria,450.0
estudiante,L. Centro,PUA,450.0
estudiante,L. Centro,Perquenco,350.0
estudiante,L. Centro,Quillem,350.0
estudiante,L. Centro,Lautaro,350.0
estudiante,L. Centro,L. Centro,0.0
estudiante,L. Centro,Pillanlelbun,350.0
estudiante,L. Centro,Coleg. Claret,0.0
estudiante,L. Centro,Cajon,200.0
estudiante,L. Centro,Temuco,450.0
estudiante,L. Centro,PLC,500.0
estudiante,L. Centro,Quepe,550.0
estudiante,L. Centro,Freire,750.0
estudiante,L. Centro,Pitrufquén,750.0
estudiante,Pillanlelbun,Victoria,500.0
estudiante,Pillanlelbun,PUA,450.0
estudiante,Pillanlelbun,Perquenco,450.0
estudiante,Pillanlelbun,Quillem,450.0
estudiante,Pillanlelbun,Lautaro,350.0
estudiante,Pillanlelbun,L. Centro,350.0
estudiante,Pillanlelbun,Pillanlelbun,0.0
estudiante,Pillanlelbun,Coleg. Claret,0.0
estudiante,Pillanlelbun,Cajon,200.0
estudiante,Pillanlelbun,Temuco,400.0
estudiante,Pillanlelbun,PLC,500.0
estudiante,Pillanlelbun,Quepe,500.0
estudiante,Pillanlelbun,Freire,700.0
estudiante,Pillanlelbun,Pitrufquén,750.0
estudiante,Coleg. Claret,Victoria,0.0
estudiante,Coleg. Claret,PUA,0.0
estudiante,Coleg. Claret,Perquenco,0.0
estudiante,Coleg. Claret,Quillem,0.0
estudiante,Coleg. Claret,Lautaro,0.0
estudiante,Coleg. Claret,L. Centro,0.0
estudiante,Coleg. Claret,Pillanlelbun,0.0
estudiante,Coleg. Claret,Coleg. Claret,0.0
estudiante,Coleg. Claret,Cajon,0.0
estudiante,Coleg. Claret,Temuco,350.0
estudiante,Coleg. Claret,PLC,0.0
estudiante,Coleg. Claret,Quepe,0.0
estudiante,Coleg. Claret,Freire,0.0
estudiante,Coleg. Claret,Pitrufquén,0.0
estudiante,Cajon,Victoria,300.0
estudiante,Cajon,PUA,250.0
estudiante,Cajon,Perquenco,250.0
estudiante,Cajon,Quillem,250.0
estudiante,Cajon,Lautaro,200.0
estudiante,Cajon,L. Centro,200.0
estudiante,Cajon,Pillanlelbun,200.0
estudiante,Cajon,Coleg. Claret,0.0
estudiante,Cajon,Cajon,0.0
estudiante,Cajon,Temuco,200.0
estudiante,Cajon,PLC,450.0
estudiante,Cajon,Quepe,450.0
estudiante,Cajon,Freire,650.0
estudiante,Cajon,Pitrufquén,700.0
estudiante,Temuco,Victoria,600.0
estudiante,Temuco,PUA,500.0
estudiante,Temuco,Perquenco,450.0
estudiante,Temuco,Quillem,450.0
estudiante,Temuco,Lautaro,450.0
estudiante,Temuco,L. Centro,450.0
estudiante,Temuco,Pillanlelbun,400.0
estudiante,Temuco,Coleg. Claret,350.0
estudiante,Temuco,Cajon,200.0
estudiante,Temuco,Temuco,0.0
estudiante,Temuco,PLC,250.0
estudiante,Temuco,Quepe,250.0
estudiante,Temuco,Freire,450.0
estudiante,Temuco,Pitrufquén,500.0
estudiante,PLC,Victoria,650.0
estudiante,PLC,PUA,550.0
estudiante,PLC,Perquenco,550.0
estudiante,PLC,Quillem,550.0
estudiante,PLC,Lautaro,500.0
estudiante,PLC,L. Centro,500.0
estudiante,PLC,Pillanlelbun,500.0
estudiante,PLC,Coleg. Claret,0.0
estudiante,PLC,Cajon,450.0
estudiante,PLC,Temuco,250.0
estudiante,PLC,PLC,0.0
estudiante,PLC,Quepe,200.0
estudiante,PLC,Freire,450.0
estudiante,PLC,Pitrufquén,450.0
estudiante,Quepe,Victoria,650.0
estudiante,Quepe,PUA,600.0
estudiante,Quepe,Perquenco,600.0
estudiante,Quepe,Quillem,600.0
estudiante,Quepe,Lautaro,550.0
estudiante,Quepe,L. Centro,550.0
estudiante,Quepe,Pillanlelbun,500.0
estudiante,Quepe,Coleg. Claret,0.0
estudiante,Quepe,Cajon,450.0
estudiante,Quepe,Temuco,250.0
estudiante,Quepe,PLC,200.0
estudiante,Quepe,Quepe,0.0
estudiante,Quepe,Freire,200.0
estudiante,Quepe,Pitrufquén,200.0
estudiante,Freire,Victoria,850.0
estudiante,Freire,PUA,750.0
estudiante,Freire,Perquenco,750.0
estudiante,Freire,Quillem,750.0
estudiante,Freire,Lautaro,750.0
estudiante,Freire,L. Centro,750.0
estudiante,Freire,Pillanlelbun,700.0
estudiante,Freire,Coleg. Claret,0.0
estudiante,Freire,Cajon,650.0
estudiante,Freire,Temuco,450.0
estudiante,Freire,PLC,450.0
estudiante,Freire,Quepe,200.0
estudiante,Freire,Freire,0.0
estudiante,Freire,Pitrufquén,200.0
estudiante,Pitrufquén,Victoria,900.0
estudiante,Pitrufquén,PUA,800.0
estudiante,Pitrufquén,Perquenco,800.0
estudiante,Pitrufquén,Quillem,800.0
estudiante,Pitrufquén,Lautaro,750.0
estudiante,Pitrufquén,L. Centro,750.0
estudiante,Pitrufquén,Pillanlelbun,750.0
estudiante,Pitrufquén,Coleg. Claret,0.0
estudiante,Pitrufquén,Cajon,700.0
estudiante,Pitrufquén,Temuco,500.0
estudiante,Pitrufquén,PLC,450.0
estudiante,Pitrufquén,Quepe,200.0
estudiante,Pitrufquén,Freire,200.0
estudiante,Pitrufquén,Pitrufquén,0.0
