mes,anio_base,tipo_pasajero,tipo_pasajero_visual,viajes_observados,viajes_mes_total,participacion_tipo_mes
10,2024,discapacitado,Discapacitado,1140.0,67778.0,0.016819616984862343
10,2024,estudiante,Estudiante,14069.0,67778.0,0.20757472926318274
10,2024,estudiante_basica,Estudiante Básica,16870.0,67778.0,0.24890082327598925
10,2024,funcionario,Funcionario,1380.0,67778.0,0.02036058898167547
10,2024,normal,Normal,22135.0,67778.0,0.3265808964560772
10,2024,sindicato,Sindicato,40.0,67778.0,0.0005901619994688542
11,2024,adulto_mayor,Adulto Mayor,4265.0,65914.0,0.06470552538155779
11,2024,claret,Claret,6601.0,65914.0,0.10014564432442273
11,2024,discapacitado,Discapacitado,1120.0,65914.0,0.01699183784931881
11,2024,estudiante,Estudiante,12532.0,65914.0,0.19012652850684225
11,2024,estudiante_basica,Estudiante Básica,18269.0,65914.0,0.27716418363321904
11,2024,funcionario,Funcionario,870.0,65914.0,0.013199016900810146
11,2024,normal,Normal,22202.0,65914.0,0.33683284279515735
11,2024,sindicato,Sindicato,55.0,65914.0,0.0008344206086719058
12,2024,adulto_mayor,Adulto Mayor,4287.0,47308.0,0.09061892280375412
12,2024,claret,Claret,3941.0,47308.0,0.08330514923480173
12,2024,discapacitado,Discapacitado,1125.0,47308.0,0.023780333136044645
12,2024,estudiante,Estudiante,6756.0,47308.0,0.1428088272596601
12,2024,estudiante_basica,Estudiante Básica,9106.0,47308.0,0.19248330092162003
12,2024,funcionario,Funcionario,190.0,47308.0,0.004016234040754207
12,2024,normal,Normal,21875.0,47308.0,0.4623953665342014
12,2024,sindicato,Sindicato,28.0,47308.0,0.0005918660691637778
