tipo_pasajero,origen,destino,tipo_pasajero_visual,tipo_tarifa_venta,factor_venta,paga_tarifa,aplica_subsidio_normal,aplica_subsidio_estudiante,tarifa_venta_base,tarifa_estudiante_sin_subsidio,falta_tarifa_venta,falta_tarifa_estudiante_sin_subsidio
adulto_mayor,Pitrufquén,Temuco,Adulto Mayor,adulto_mayor,1.0,1,0,0,750.0,1550.0,False,False
adulto_mayor,Quepe,Freire,Adulto Mayor,adulto_mayor,1.0,1,0,0,300.0,600.0,False,False
adulto_mayor,Quepe,PLC,Adulto Mayor,adulto_mayor,1.0,1,0,0,300.0,650.0,False,False
adulto_mayor,Quepe,Pitrufquén,Adulto Mayor,adulto_mayor,1.0,1,0,0,350.0,700.0,False,False
adulto_mayor,Quepe,Temuco,Adulto Mayor,adulto_mayor,1.0,1,0,0,400.0,900.0,False,False
adulto_mayor,Quillem,L. Centro,Adulto Mayor,adulto_mayor,1.0,1,0,0,550.0,1200.0,False,False
adulto_mayor,Quillem,Lautaro,Adulto Mayor,adulto_mayor,1.0,1,0,0,550.0,1200.0,False,False
adulto_mayor,Quillem,PUA,Adulto Mayor,adulto_mayor,1.0,1,0,0,600.0,1300.0,False,False
adulto_mayor,Quillem,Perquenco,Adulto Mayor,adulto_mayor,1.0,1,0,0,550.0,1200.0,False,False
adulto_mayor,Quillem,Temuco,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1500.0,False,False
adulto_mayor,Quillem,Victoria,Adulto Mayor,adulto_mayor,1.0,1,0,0,650.0,1400.0,False,False
adulto_mayor,Temuco,Cajon,Adulto Mayor,adulto_mayor,1.0,1,0,0,300.0,650.0,False,False
adulto_mayor,Temuco,Freire,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1450.0,False,False
adulto_mayor,Temuco,L. Centro,Adulto Mayor,adulto_mayor,1.0,1,0,0,650.0,1350.0,False,False
adulto_mayor,Temuco,Lautaro,Adulto Mayor,adulto_mayor,1.0,1,0,0,650.0,1350.0,False,False
adulto_mayor,Temuco,PLC,Adulto Mayor,adulto_mayor,1.0,1,0,0,350.0,750.0,False,False
adulto_mayor,Temuco,PUA,Adulto Mayor,adulto_mayor,1.0,1,0,0,750.0,1600.0,False,False
adulto_mayor,Temuco,Perquenco,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1500.0,False,False
adulto_mayor,Temuco,Pillanlelbun,Adulto Mayor,adulto_mayor,1.0,1,0,0,600.0,1300.0,False,False
adulto_mayor,Temuco,Pitrufquén,Adulto Mayor,adulto_mayor,1.0,1,0,0,750.0,1550.0,False,False
adulto_mayor,Temuco,Quepe,Adulto Mayor,adulto_mayor,1.0,1,0,0,400.0,900.0,False,False
adulto_mayor,Temuco,Quillem,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1500.0,False,False
adulto_mayor,Temuco,Victoria,Adulto Mayor,adulto_mayor,1.0,1,0,0,900.0,1950.0,False,False
adulto_mayor,Victoria,Cajon,Adulto Mayor,adulto_mayor,1.0,1,0,0,450.0,950.0,False,False
adulto_mayor,Victoria,L. Centro,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1500.0,False,False
