orden,estacion
1,Victoria
2,PUA
3,Perquenco
4,Quillem
5,Lautaro
6,L. Centro
7,Pillanlelbun
8,Coleg. Claret
9,Cajon
10,Temuco
11,PLC
12,Quepe
13,Freire
14,Pitrufquén
