servicio,origen,destino,distancia_km,fuente_hoja
TREN_ARAUCANIA,L. Centro,Pillanlelbun,6.0,PAX KM VT
TREN_ARAUCANIA,L. Centro,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,L. Centro,Cajon,13.3,PAX KM VT
TREN_ARAUCANIA,L. Centro,Temuco,23.0,PAX KM VT
TREN_ARAUCANIA,L. Centro,PLC,27.45,PAX KM VT
TREN_ARAUCANIA,L. Centro,Quepe,40.0,PAX KM VT
TREN_ARAUCANIA,L. Centro,Freire,48.3,PAX KM VT
TREN_ARAUCANIA,L. Centro,Pitrufquén,53.02,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Victoria,48.5,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,PUA,37.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Perquenco,26.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Quillem,19.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Lautaro,13.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,L. Centro,6.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Pillanlelbun,0.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Cajon,7.3,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Temuco,17.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,PLC,21.45,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Quepe,34.0,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Freire,42.3,PAX KM VT
TREN_ARAUCANIA,Pillanlelbun,Pitrufquén,47.02,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Victoria,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,PUA,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Perquenco,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Quillem,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Lautaro,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,L. Centro,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Pillanlelbun,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Cajon,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Temuco,12.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,PLC,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Quepe,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Freire,0.0,PAX KM VT
TREN_ARAUCANIA,Coleg. Claret,Pitrufquén,0.0,PAX KM VT
TREN_ARAUCANIA,Cajon,Victoria,55.8,PAX KM VT
TREN_ARAUCANIA,Cajon,PUA,44.3,PAX KM VT
TREN_ARAUCANIA,Cajon,Perquenco,33.3,PAX KM VT
TREN_ARAUCANIA,Cajon,Quillem,26.3,PAX KM VT
TREN_ARAUCANIA,Cajon,Lautaro,20.3,PAX KM VT
TREN_ARAUCANIA,Cajon,L. Centro,13.3,PAX KM VT
TREN_ARAUCANIA,Cajon,Pillanlelbun,7.3,PAX KM VT
TREN_ARAUCANIA,Cajon,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Cajon,Cajon,0.0,PAX KM VT
TREN_ARAUCANIA,Cajon,Temuco,9.7,PAX KM VT
TREN_ARAUCANIA,Cajon,PLC,14.15,PAX KM VT
TREN_ARAUCANIA,Cajon,Quepe,26.7,PAX KM VT
TREN_ARAUCANIA,Cajon,Freire,35.0,PAX KM VT
TREN_ARAUCANIA,Cajon,Pitrufquén,39.72,PAX KM VT
TREN_ARAUCANIA,Temuco,Victoria,65.5,PAX KM VT
TREN_ARAUCANIA,Temuco,PUA,54.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Perquenco,43.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Quillem,36.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Lautaro,30.0,PAX KM VT
TREN_ARAUCANIA,Temuco,L. Centro,23.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Pillanlelbun,17.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Coleg. Claret,12.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Cajon,9.7,PAX KM VT
TREN_ARAUCANIA,Temuco,Temuco,0.0,PAX KM VT
TREN_ARAUCANIA,Temuco,PLC,4.45,PAX KM VT
TREN_ARAUCANIA,Temuco,Quepe,17.0,PAX KM VT
TREN_ARAUCANIA,Temuco,Freire,25.3,PAX KM VT
TREN_ARAUCANIA,Temuco,Pitrufquén,30.02,PAX KM VT
TREN_ARAUCANIA,PLC,Victoria,69.95,PAX KM VT
TREN_ARAUCANIA,PLC,PUA,58.45,PAX KM VT
TREN_ARAUCANIA,PLC,Perquenco,47.45,PAX KM VT
TREN_ARAUCANIA,PLC,Quillem,40.45,PAX KM VT
TREN_ARAUCANIA,PLC,Lautaro,34.45,PAX KM VT
TREN_ARAUCANIA,PLC,L. Centro,27.45,PAX KM VT
TREN_ARAUCANIA,PLC,Pillanlelbun,21.45,PAX KM VT
TREN_ARAUCANIA,PLC,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,PLC,Cajon,14.15,PAX KM VT
TREN_ARAUCANIA,PLC,Temuco,4.45,PAX KM VT
TREN_ARAUCANIA,PLC,PLC,0.0,PAX KM VT
TREN_ARAUCANIA,PLC,Quepe,12.55,PAX KM VT
TREN_ARAUCANIA,PLC,Freire,20.85,PAX KM VT
TREN_ARAUCANIA,PLC,Pitrufquén,25.57,PAX KM VT
TREN_ARAUCANIA,Quepe,Victoria,82.5,PAX KM VT
TREN_ARAUCANIA,Quepe,PUA,71.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Perquenco,60.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Quillem,53.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Lautaro,47.0,PAX KM VT
TREN_ARAUCANIA,Quepe,L. Centro,40.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Pillanlelbun,34.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Cajon,26.7,PAX KM VT
TREN_ARAUCANIA,Quepe,Temuco,17.0,PAX KM VT
TREN_ARAUCANIA,Quepe,PLC,12.55,PAX KM VT
TREN_ARAUCANIA,Quepe,Quepe,0.0,PAX KM VT
TREN_ARAUCANIA,Quepe,Freire,8.3,PAX KM VT
TREN_ARAUCANIA,Quepe,Pitrufquén,13.02,PAX KM VT
TREN_ARAUCANIA,Freire,Victoria,90.8,PAX KM VT
TREN_ARAUCANIA,Freire,PUA,79.3,PAX KM VT
TREN_ARAUCANIA,Freire,Perquenco,68.3,PAX KM VT
TREN_ARAUCANIA,Freire,Quillem,61.3,PAX KM VT
TREN_ARAUCANIA,Freire,Lautaro,55.3,PAX KM VT
TREN_ARAUCANIA,Freire,L. Centro,48.3,PAX KM VT
TREN_ARAUCANIA,Freire,Pillanlelbun,42.3,PAX KM VT
TREN_ARAUCANIA,Freire,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Freire,Cajon,35.0,PAX KM VT
TREN_ARAUCANIA,Freire,Temuco,25.3,PAX KM VT
TREN_ARAUCANIA,Freire,PLC,20.85,PAX KM VT
TREN_ARAUCANIA,Freire,Quepe,8.3,PAX KM VT
TREN_ARAUCANIA,Freire,Freire,0.0,PAX KM VT
TREN_ARAUCANIA,Freire,Pitrufquén,4.1,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Victoria,95.52,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,PUA,84.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Perquenco,73.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Quillem,66.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Lautaro,60.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,L. Centro,53.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Pillanlelbun,47.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Cajon,39.72,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Temuco,30.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,PLC,25.57,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Quepe,13.02,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Freire,4.1,PAX KM VT
TREN_ARAUCANIA,Pitrufquén,Pitrufquén,0.0,PAX KM VT
