mes,mes_nombre,grupo_subsidio_referencial,origen,destino,viajes_observados_base_referencial
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Hito Galvarino,4.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Hualqui,38.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Huinca,2.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Intermodal Coronel,26.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Juan Pablo II,11.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,La Leonera,3.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Laguna Quiñenco,6.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Lomas Coloradas,35.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Lorenzo Arenas,15.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Los Canelos,19.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Los Cóndores,28.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Manquimávida,5.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Mercado,47.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,Pedro Medina,2.0
1,Enero,sin_subsidio_adulto_mayor,Chiguayante,UTFSM,10.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Alborada,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,C. Raúl Silva H.,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Chiguayante,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Concepción,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Costa Mar,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Cristo Redentor,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Diagonal Biobío,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,El Arenal,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,El Parque,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Higueras,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Hito Galvarino,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Hualqui,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Huinca,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Intermodal Coronel,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Juan Pablo II,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,La Leonera,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Laguna Quiñenco,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Lomas Coloradas,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Lorenzo Arenas,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Los Canelos,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Los Cóndores,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Manquimávida,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Mercado,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,Pedro Medina,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepcion Centro,UTFSM,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Alborada,47.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,C. Raúl Silva H.,860.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Chiguayante,111.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Concepción,447.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Costa Mar,516.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Cristo Redentor,1863.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Diagonal Biobío,155.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,El Arenal,92.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,El Parque,197.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Higueras,122.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Hito Galvarino,607.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Hualqui,293.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Huinca,1408.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Intermodal Coronel,1787.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Juan Pablo II,144.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,La Leonera,98.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Laguna Quiñenco,1474.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Lomas Coloradas,1136.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Lorenzo Arenas,27.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Los Canelos,2574.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Los Cóndores,202.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Manquimávida,127.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Mercado,90.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,Pedro Medina,46.0
1,Enero,sin_subsidio_adulto_mayor,Concepción,UTFSM,40.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Alborada,1.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,C. Raúl Silva H.,58.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Chiguayante,18.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Concepción,513.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Costa Mar,8.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Cristo Redentor,88.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Diagonal Biobío,104.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,El Arenal,27.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,El Parque,26.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Higueras,18.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Hito Galvarino,35.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Hualqui,1.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Huinca,53.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Intermodal Coronel,232.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Juan Pablo II,145.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,La Leonera,11.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Laguna Quiñenco,144.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Lomas Coloradas,126.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Lorenzo Arenas,29.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Los Canelos,95.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Los Cóndores,34.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Manquimávida,2.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Mercado,18.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,Pedro Medina,19.0
1,Enero,sin_subsidio_adulto_mayor,Costa Mar,UTFSM,8.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Alborada,37.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,C. Raúl Silva H.,143.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Chiguayante,11.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Concepción,1937.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Costa Mar,65.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Cristo Redentor,54.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Diagonal Biobío,150.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,El Arenal,50.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,El Parque,154.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Higueras,36.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Hito Galvarino,77.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Hualqui,2.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Huinca,90.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Intermodal Coronel,367.0
