tipo_tarjeta,nombre_visual,archivo,mes,mes_nombre,estado,detalle,n_estaciones,n_filas_estaciones_detectadas,n_columnas_estaciones_detectadas,orden_filas_ok,orden_columnas_ok,total_viajes_observados,celdas_no_nulas_numericas,celdas_cero,celdas_negativas,viajes_diagonal,tipo_declarado_en_archivo,fuente_declarada_mes,archivo_fuente_declarado,hojas_faltantes_en_archivo,hojas_extra_en_archivo,advertencia_tipo_declarado
media_superior,Media Superior,media-superior_ano_tipo.xlsx,11,Noviembre,OK_CON_ADVERTENCIA,,27,27,27,True,True,231817.0,729,106,0,4609.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Noviembre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
media_superior,Media Superior,media-superior_ano_tipo.xlsx,12,Diciembre,OK_CON_ADVERTENCIA,,27,27,27,True,True,154332.0,729,106,0,4027.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Diciembre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,1,Enero,OK_CON_ADVERTENCIA,,27,27,27,True,True,55024.0,729,131,0,758.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Enero,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,2,Febrero,OK_CON_ADVERTENCIA,,27,27,27,True,True,51413.0,729,126,0,698.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Febrero,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,3,Marzo,OK_CON_ADVERTENCIA,,27,27,27,True,True,70766.0,729,121,0,919.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Marzo,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,4,Abril,OK_CON_ADVERTENCIA,,27,27,27,True,True,69985.0,729,122,0,768.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Abril,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,5,Mayo,OK_CON_ADVERTENCIA,,27,27,27,True,True,64694.0,729,125,0,670.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Mayo,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,6,Junio,OK_CON_ADVERTENCIA,,27,27,27,True,True,35014.0,729,184,0,216.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Junio,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,7,Julio,OK_CON_ADVERTENCIA,,27,27,27,True,True,19346.0,729,208,0,112.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Julio,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,8,Agosto,OK_CON_ADVERTENCIA,,27,27,27,True,True,48335.0,729,146,0,586.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Agosto,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,9,Septiembre,OK_CON_ADVERTENCIA,,27,27,27,True,True,48113.0,729,151,0,473.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Septiembre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,10,Octubre,OK_CON_ADVERTENCIA,,27,27,27,True,True,60113.0,729,136,0,563.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Octubre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,11,Noviembre,OK_CON_ADVERTENCIA,,27,27,27,True,True,58441.0,729,131,0,668.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Noviembre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
adulto_mayor,Adulto Mayor,adulto-mayor_ano_tipo.xlsx,12,Diciembre,OK_CON_ADVERTENCIA,,27,27,27,True,True,59817.0,729,129,0,778.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Diciembre,,,,El tipo declarado dentro de la hoja no coincide con el nombre del archivo; se usa el tipo de tarjeta definido por el archivo.
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,11024.0,729,292,0,677.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Enero,basica-tne_enero_2026.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,11450.0,729,289,0,855.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Febrero,basica-tne_febrero_2026.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,20244.0,729,260,0,1006.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Marzo,basica-tne_marzo_2026.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,19535.0,729,265,0,969.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Abril,basica-tne_abril_2026.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,17880.0,729,294,0,946.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Mayo,basica-tne_mayo_2026.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,4711.0,729,407,0,176.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Junio,educacion-basica_junio_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,7844.0,729,367,0,249.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Julio,educacion-basica_julio_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,7757.0,729,381,0,246.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Agosto,educacion-basica_agosto_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,1028.0,729,558,0,78.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Septiembre,est-basica-tne_septiembre_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,4005.0,729,440,0,193.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Octubre,basica-tne_octubre_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,11,Noviembre,OK,,27,27,27,True,True,5713.0,729,386,0,228.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Noviembre,basica-tne_noviembre_2024.xlsx,,,
estudiante_basica,Estudiante Básica,estudiante-basica_ano_tipo.xlsx,12,Diciembre,OK,,27,27,27,True,True,5517.0,729,381,0,258.0,Tipo pasajero: Estudiante Básica,Mes año tipo: Diciembre,basica-tne_diciembre_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,20510.0,729,204,0,821.0,Tipo pasajero: Discapacitado,Mes año tipo: Enero,discapac_enero_2026.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,19749.0,729,204,0,765.0,Tipo pasajero: Discapacitado,Mes año tipo: Febrero,discapac_febrero_2026.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,30807.0,729,189,0,1200.0,Tipo pasajero: Discapacitado,Mes año tipo: Marzo,discapac_marzo_2026.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,31347.0,729,193,0,1184.0,Tipo pasajero: Discapacitado,Mes año tipo: Abril,discapac_abril_2026.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,29653.0,729,183,0,1053.0,Tipo pasajero: Discapacitado,Mes año tipo: Mayo,discapac_mayo_2026.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,10462.0,729,333,0,452.0,Tipo pasajero: Discapacitado,Mes año tipo: Junio,capac-dif_junio_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,15294.0,729,273,0,561.0,Tipo pasajero: Discapacitado,Mes año tipo: Julio,capac-dif_julio_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,15189.0,729,245,0,717.0,Tipo pasajero: Discapacitado,Mes año tipo: Agosto,capac-dif_agosto_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,12831.0,729,276,0,534.0,Tipo pasajero: Discapacitado,Mes año tipo: Septiembre,capac-dif_septiembre_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,16699.0,729,269,0,650.0,Tipo pasajero: Discapacitado,Mes año tipo: Octubre,discapac_octubre_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,11,Noviembre,OK,,27,27,27,True,True,16951.0,729,259,0,640.0,Tipo pasajero: Discapacitado,Mes año tipo: Noviembre,discapac_noviembre_2024.xlsx,,,
discapacitado,Discapacitado,discapacitado_ano_tipo.xlsx,12,Diciembre,OK,,27,27,27,True,True,15878.0,729,253,0,624.0,Tipo pasajero: Discapacitado,Mes año tipo: Diciembre,discapac_diciembre_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,10166.0,729,348,0,2025.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Enero,funcionario-normal-3-0_enero_2026.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,8419.0,729,351,0,1595.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Febrero,funcionario-normal-3-0_febrero_2026.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,11365.0,729,358,0,2412.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Marzo,funcionario-normal-3-0_marzo_2026.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,9918.0,729,363,0,2009.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Abril,funcionario-normal-3-0_abril_2026.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,8388.0,729,371,0,1748.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Mayo,funcionario-normal-3-0_mayo_2026.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,11692.0,729,349,0,1477.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Junio,func-normal_junio_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,16756.0,729,296,0,1883.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Julio,funcionario-normal-3-0_julio_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,15041.0,729,301,0,1858.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Agosto,funcionario-normal-3-0_agosto_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,14579.0,729,299,0,1714.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Septiembre,funcionario-normal-3-0_septiembre_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,18302.0,729,263,0,1961.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Octubre,funcionario-normal-3-0_octubre_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,11,Noviembre,OK,,27,27,27,True,True,18420.0,729,262,0,2108.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Noviembre,funcionario-normal-3-0_noviembre_2024.xlsx,,,
funcionario_normal,Funcionario Normal,funcionario-normal_ano_tipo.xlsx,12,Diciembre,OK,,27,27,27,True,True,18841.0,729,262,0,2113.0,Tipo pasajero: Funcionario Normal,Mes año tipo: Diciembre,funcionario-normal-3-0_diciembre_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,389.0,729,682,0,277.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Enero,funcionario-especial-3-0_enero_2026.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,504.0,729,666,0,361.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Febrero,funcionario-especial-3-0_febrero_2026.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,533.0,729,652,0,372.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Marzo,funcionario-especial-3-0_marzo_2026.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,531.0,729,688,0,323.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Abril,funcionario-especial-3-0_abril_2026.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,460.0,729,686,0,301.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Mayo,funcionario-especial-3-0_mayo_2026.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,579.0,729,671,0,416.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Junio,func-especial_junio_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,1058.0,729,642,0,817.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Julio,funcionario-especial-3-0_julio_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,867.0,729,650,0,655.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Agosto,funcionario-especial-3-0_agosto_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,743.0,729,647,0,547.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Septiembre,funcionario-especial-3-0_septiembre_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,739.0,729,658,0,535.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Octubre,funcionario-especial-3-0_octubre_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,11,Noviembre,OK,,27,27,27,True,True,856.0,729,636,0,641.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Noviembre,funcionario-especial-3-0_noviembre_2024.xlsx,,,
funcionario_especial,Funcionario Especial,funcionario-especial_ano_tipo.xlsx,12,Diciembre,OK,,27,27,27,True,True,633.0,729,677,0,488.0,Tipo pasajero: Funcionario Especial,Mes año tipo: Diciembre,funcionario-especial-3-0_diciembre_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,2690.0,729,458,0,366.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Enero,convenios-colectivos-3-0_enero_2026.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,2452.0,729,464,0,325.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Febrero,convenios-colectivos-3-0_febrero_2026.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,3575.0,729,455,0,352.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Marzo,convenios-colectivos-3-0_marzo_2026.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,3719.0,729,435,0,365.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Abril,convenios-colectivos-3-0_abril_2026.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,3436.0,729,433,0,407.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Mayo,convenios-colectivos-3-0_mayo_2026.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,1913.0,729,500,0,214.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Junio,conv-colec_junio_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,2662.0,729,472,0,229.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Julio,convenios-colectivos-3-0_julio_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,2679.0,729,466,0,287.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Agosto,convenios-colectivos-3-0_agosto_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,2660.0,729,472,0,254.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Septiembre,convenios-colectivos-3-0_septiembre_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,3654.0,729,455,0,342.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Octubre,convenios-colectivos-3-0_octubre_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,11,Noviembre,OK,,27,27,27,True,True,3662.0,729,443,0,393.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Noviembre,convenios-colectivos-3-0_noviembre_2024.xlsx,,,
convenio_colectivo,Convenio Colectivo,convenio-colectivo_ano_tipo.xlsx,12,Diciembre,OK,,27,27,27,True,True,3166.0,729,435,0,363.0,Tipo pasajero: Convenio Colectivo,Mes año tipo: Diciembre,convenios-colectivos-3-0_diciembre_2024.xlsx,,,
