orden,estacion
1,Hualqui
2,La Leonera
3,Manquimávida
4,Pedro Medina
5,Chiguayante
6,Concepción
7,Lorenzo Arenas
8,UTFSM
9,Los Cóndores
10,Higueras
11,El Arenal
12,Mercado
13,Juan Pablo II
14,Diagonal Biobío
15,Alborada
16,Costa Mar
17,El Parque
18,Lomas Coloradas
19,C. Raúl Silva H.
20,Hito Galvarino
21,Los Canelos
22,Huinca
23,Cristo Redentor
24,Laguna Quiñenco
25,Intermodal Coronel
26,Pasajero Lota
27,Concepcion Centro
