mes,mes_nombre,tipo_tarjeta,nombre_visual,viajes_observados_tipo_mes,viajes_observados_total_mes,participacion_tipo_mes
10,Octubre,funcionario_especial,Funcionario Especial,739.0,1070826.0,0.0006901214576411107
10,Octubre,funcionario_normal,Funcionario Normal,18302.0,1070826.0,0.01709147891440813
10,Octubre,media_superior,Media Superior,259547.0,1070826.0,0.2423801812806189
10,Octubre,monedero,Monedero,707767.0,1070826.0,0.6609542540057862
11,Noviembre,adulto_mayor,Adulto Mayor,58441.0,1000846.0,0.05839160070580289
11,Noviembre,convenio_colectivo,Convenio Colectivo,3662.0,1000846.0,0.003658904566736541
11,Noviembre,discapacitado,Discapacitado,16951.0,1000846.0,0.016936671575846832
11,Noviembre,estudiante_basica,Estudiante Básica,5713.0,1000846.0,0.0057081708874292345
11,Noviembre,funcionario_especial,Funcionario Especial,856.0,1000846.0,0.0008552764361350298
11,Noviembre,funcionario_normal,Funcionario Normal,18420.0,1000846.0,0.018404429852344917
11,Noviembre,media_superior,Media Superior,231817.0,1000846.0,0.23162104859289043
11,Noviembre,monedero,Monedero,664986.0,1000846.0,0.6644238973828142
12,Diciembre,adulto_mayor,Adulto Mayor,59817.0,922227.0,0.06486147119960704
12,Diciembre,convenio_colectivo,Convenio Colectivo,3166.0,922227.0,0.003432994262800807
12,Diciembre,discapacitado,Discapacitado,15878.0,922227.0,0.017217019237129254
12,Diciembre,estudiante_basica,Estudiante Básica,5517.0,922227.0,0.005982258164204691
12,Diciembre,funcionario_especial,Funcionario Especial,633.0,922227.0,0.0006863819862138064
12,Diciembre,funcionario_normal,Funcionario Normal,18841.0,922227.0,0.02042989415837966
12,Diciembre,media_superior,Media Superior,154332.0,922227.0,0.1673470848283557
12,Diciembre,monedero,Monedero,664043.0,922227.0,0.7200428961633091
