anio,mes,MAE,RMSE,MAPE_pct,Correlacion,Desviacion_abs_total,Desviacion_pct_total,CPC,R2
2026,3,269.52136731193343,800.0747649212235,20.661070253750026,0.9922278922876504,0.0,0.0,0.9279239927937373,0.9778045858357298
2026,4,282.9809866287104,875.5283885321047,20.8729030122082,0.991806701026734,2.3283064365386963e-10,-2.0133744111470697e-14,0.9235298954346414,0.9738898416502136
2026,5,259.71391384633273,771.8537802978772,25.723279375025136,0.992567702371144,0.0,0.0,0.9218514803171569,0.9749289689262297
Total,Validacion,270.7387559289922,816.9920127617526,22.419084213661122,0.9921300446438327,0.0,0.0,0.9245382648382396,0.9755764852943392
