anio,mes,estacion,factor_origen,factor_destino,total_mes
2023,1,Alborada,0.01092972043209805,0.011554496264843247,518586.0
2023,1,C. Raúl Silva H.,0.05098093662381938,0.04691796539050418,518586.0
2023,1,Chiguayante,0.01754193132865137,0.01548634170610082,518586.0
2023,1,Concepción,0.22028940233635308,0.22261881346584753,518586.0
2023,1,Costa Mar,0.046430100311230925,0.04731134276667708,518586.0
2023,1,Cristo Redentor,0.0657287315893603,0.05953882287605142,518586.0
2023,1,Diagonal Biobío,0.03373403832729769,0.0384005738681723,518586.0
2023,1,El Arenal,0.010291446356052805,0.009847932647622574,518586.0
2023,1,El Parque,0.024798201262664243,0.02382632774506061,518586.0
2023,1,Higueras,0.013257203241121049,0.013908975560466346,518586.0
2023,1,Hito Galvarino,0.029831117693111652,0.031684233666161445,518586.0
2023,1,Hualqui,0.021016764818178664,0.02472299676427825,518586.0
2023,1,Huinca,0.034322176071085606,0.032133532336005986,518586.0
2023,1,Intermodal Coronel,0.07210183074745558,0.06516759033217248,518586.0
2023,1,Juan Pablo II,0.0706960851237789,0.09034759904818102,518586.0
2023,1,La Leonera,0.015185523712556838,0.013168500499435002,518586.0
2023,1,Laguna Quiñenco,0.0581099374067175,0.05354560285082899,518586.0
2023,1,Lomas Coloradas,0.0658579290609465,0.0654163436729877,518586.0
2023,1,Lorenzo Arenas,0.008866417527661758,0.009504691603707004,518586.0
2023,1,Los Canelos,0.06811984897394067,0.06407808926581127,518586.0
2023,1,Los Cóndores,0.015694600317015885,0.014898203962312905,518586.0
2023,1,Manquimávida,0.012609287562718624,0.012362462542374842,518586.0
2023,1,Mercado,0.014618597493954714,0.015361000875457494,518586.0
2023,1,Pedro Medina,0.008093161018616006,0.007364255880413278,518586.0
2023,1,UTFSM,0.010895010663612207,0.010833304408526262,518586.0
2023,2,Alborada,0.012818012368690672,0.014632580760637445,405055.0
2023,2,C. Raúl Silva H.,0.052084284850205526,0.048751404130303294,405055.0
2023,2,Chiguayante,0.013161175642813938,0.013175988446013503,405055.0
2023,2,Concepción,0.2130179852118848,0.2120847786103122,405055.0
2023,2,Costa Mar,0.048000888768191974,0.04856624409030872,405055.0
2023,2,Cristo Redentor,0.06739331695695647,0.06346051770747183,405055.0
2023,2,Diagonal Biobío,0.033713940082211055,0.036965350384515684,405055.0
2023,2,El Arenal,0.009638197281850613,0.009349347619459086,405055.0
2023,2,El Parque,0.028951623853550754,0.029758921627927072,405055.0
2023,2,Higueras,0.013415462097739812,0.014632580760637445,405055.0
2023,2,Hito Galvarino,0.030605720210835567,0.03287454790090235,405055.0
2023,2,Hualqui,0.01745441977015467,0.020789769290590166,405055.0
2023,2,Huinca,0.037814617767957436,0.03562232289442174,405055.0
2023,2,Intermodal Coronel,0.07412820481169224,0.06951401661502758,405055.0
2023,2,Juan Pablo II,0.06937329498463171,0.0852921208230981,405055.0
2023,2,La Leonera,0.015355939316882892,0.012551381911098492,405055.0
2023,2,Laguna Quiñenco,0.05685400748046562,0.049131599412425474,405055.0
2023,2,Lomas Coloradas,0.06768710422041452,0.06802532989347125,405055.0
2023,2,Lorenzo Arenas,0.008732147486143857,0.009122217970399082,405055.0
2023,2,Los Canelos,0.06917085334090432,0.06622557430472405,405055.0
