archivo,hoja,anio,mes,bloque,n_origenes,n_destinos,total_viajes,tipo_fuente
0. Matrices Biotren mar_2026.xlsx,Ago 2023,2023,8,Total Mes Tarjetas,25,25,904875.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Sep 2023,2023,9,Total Mes Tarjetas,25,25,734893.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Oct 2023,2023,10,Total Mes Tarjetas,25,25,908085.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Nov 2023,2023,11,Total Mes Tarjetas,25,25,966687.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Dic 2023,2023,12,Total Mes Tarjetas,25,25,875234.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Ene 2024,2024,1,Total Mes Tarjetas,25,25,795205.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Feb 2024,2024,2,Total Mes Tarjetas,25,25,782790.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Mar 2024,2024,3,Total Mes Tarjetas,25,25,1107393.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Abr 2024,2024,4,Total Mes Tarjetas,25,25,1165612.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,May 2024,2024,5,Total Mes Tarjetas,25,25,1063539.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Jun 2024,2024,6,Total Mes Tarjetas,25,25,724618.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Jul 2024,2024,7,Total Mes Tarjetas,25,25,978245.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Agos 2024,2024,8,Total Mes Tarjetas,25,25,931082.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Sept 2024,2024,9,Total Mes Tarjetas,25,25,913025.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Oct 2024,2024,10,Total Mes Tarjetas,25,25,1140394.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Nov 2024,2024,11,Total Mes Tarjetas,25,25,1064455.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Dic 2024,2024,12,Total Mes Tarjetas,25,25,985228.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Ene 2025,2025,1,Total Mes Tarjetas,25,25,894416.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Feb 2025,2025,2,Total Mes Tarjetas,25,25,734104.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Mar 2025,2025,3,Total Mes Tarjetas,25,25,1097383.0,respaldo_marzo
