servicio,mes,factor_estacionalidad,participacion_historica_utilizada,fuerza_estacionalidad,ajuste_biotren_marzo_abril
BIOTREN,1,1.1593132659295342,0.07203324264547414,0.55,False
BIOTREN,2,1.0959104707755105,0.06485400683704386,0.55,False
BIOTREN,3,1.1115455627717314,0.09828478786854365,0.55,True
BIOTREN,4,0.9207944133240421,0.09702542736958793,0.55,True
BIOTREN,5,0.9689751286046193,0.08933552600223983,0.55,False
BIOTREN,6,0.8929305800892007,0.07268570000023555,0.55,False
BIOTREN,7,1.009920336046595,0.07800326894009954,0.55,False
BIOTREN,8,0.9146451192919063,0.08377876451811565,0.55,False
BIOTREN,9,0.946691397767379,0.08089094603456762,0.55,False
BIOTREN,10,1.030580398774002,0.09371950082162311,0.55,False
BIOTREN,11,1.03007776581727,0.08738406260240228,0.55,False
BIOTREN,12,1.0567542569196013,0.08200476636006694,0.55,False
CORTO_LAJA,1,1.1170371848891678,0.12017266678902905,0.55,False
CORTO_LAJA,2,1.0511979162534169,0.12433909397920652,0.55,False
CORTO_LAJA,3,1.058595107334363,0.08809961127629383,0.55,False
CORTO_LAJA,4,0.986504542998902,0.0771146663961453,0.55,False
CORTO_LAJA,5,1.0265778858008463,0.07250196025062915,0.55,False
CORTO_LAJA,6,0.8953514102903025,0.05744952609110797,0.55,False
CORTO_LAJA,7,1.0041520176234544,0.06946988123643634,0.55,False
CORTO_LAJA,8,0.9364253243299494,0.06710271560865587,0.55,False
CORTO_LAJA,9,0.970704601126109,0.07144241659218582,0.55,False
CORTO_LAJA,10,0.9674446377376466,0.08198417825284104,0.55,False
CORTO_LAJA,11,0.9671723997949342,0.08369482718452843,0.55,False
CORTO_LAJA,12,0.9683695380000539,0.08662845634294083,0.55,False
LLANQUIHUE_PM,1,1.271178325802268,0.15098605516797206,0.85,False
LLANQUIHUE_PM,2,1.1738317946774532,0.15000911491776278,0.85,False
LLANQUIHUE_PM,3,1.1925075684647088,0.07835531621256904,0.85,False
LLANQUIHUE_PM,4,0.8788845742635121,0.0754772970969035,0.85,False
LLANQUIHUE_PM,5,0.9627033989496926,0.07637753023509351,0.85,False
LLANQUIHUE_PM,6,0.7923308365238076,0.056566837048939785,0.85,False
LLANQUIHUE_PM,7,0.8214907874958339,0.07058056047319095,0.85,False
LLANQUIHUE_PM,8,0.731027449484112,0.04881227343479544,0.85,False
LLANQUIHUE_PM,9,0.9054707267151344,0.06143820038698794,0.85,False
LLANQUIHUE_PM,10,1.0940143240326254,0.07697326341835899,0.85,False
LLANQUIHUE_PM,11,0.93167176391448,0.07209733243887732,0.85,False
LLANQUIHUE_PM,12,1.0593608296357426,0.08232621916854865,0.85,False
TREN_ARAUCANIA,1,0.9638330094876956,0.06364575407978115,0.5,False
TREN_ARAUCANIA,2,0.9282548311164297,0.06619078496601671,0.5,False
TREN_ARAUCANIA,3,0.9020510530837016,0.10254973489747071,0.5,False
TREN_ARAUCANIA,4,1.0516082021714996,0.10709745987283843,0.5,False
TREN_ARAUCANIA,5,1.2926705792501703,0.10014103421436238,0.5,False
TREN_ARAUCANIA,6,1.0269433405325363,0.07484883521337958,0.5,False
TREN_ARAUCANIA,7,1.051914218974504,0.09066162730066814,0.5,False
TREN_ARAUCANIA,8,0.9753110586970297,0.08355923036315174,0.5,False
TREN_ARAUCANIA,9,0.9796948210393155,0.07240688022437486,0.5,False
TREN_ARAUCANIA,10,1.0177164494880109,0.08569836997885151,0.5,False
TREN_ARAUCANIA,11,0.9553444562541842,0.08219413218295878,0.5,False
TREN_ARAUCANIA,12,0.9718888145335361,0.07100615670614602,0.5,False
