control,estado,detalle
Ingresos sólo en tipos con tarifa directa,OK,"adulto_mayor: 266,298,008; convenio_colectivo: 0; discapacitado: 0; estudiante_basica: 0; funcionario_especial: 0; funcionario_normal: 0; media_superior: 625,333,228; monedero: 5,876,159,450"
Tarifa estudiante BT sin subsidio existe,OK,data/tarifas_biotren/tarifa_estudiante_bt_sin_subsidio_long.csv
Columnas tarifa estudiante BT sin subsidio,OK,"Columnas: ['destino', 'destino_en_modelo', 'es_diagonal', 'fuente', 'origen', 'origen_en_modelo', 'tarifa_disponible', 'tarifa_estudiante_bt_sin_subsidio']"
tasa_descuento_normal parametrizada,OK,Valor: 0.189
tasa_descuento_normal entre 0 y 1,OK,Valor: 0.189
Estaciones matriz estudiante contenidas en modelo,OK,Fuera modelo: ninguna
Concepcion Centro sin cobertura estudiante,OK,Sin cobertura: ['Concepción Centro']
Pasajero Lota sin tarifas disponibles,OK,Sin tarifas: ['Pasajero Lota']
Diagonal estudiante tratada como cero,OK,Filas diagonal: 26
MOD normal_base excluye media_superior y adulto_mayor,OK,"Grupo normal_base: ['convenio_colectivo', 'discapacitado', 'estudiante_basica', 'funcionario_especial', 'funcionario_normal', 'monedero']"
media_superior único grupo estudiante subsidio,OK,Grupo estudiante: ['media_superior']
Tarifa estudiante pagada desde matriz vigente,OK,Fuente tarifa pagada: ['Estudiante']
Tarifa estudiante sin subsidio desde data/tarifas_biotren,OK,Fuente sin subsidio: data/tarifas_biotren/tarifa_estudiante_bt_sin_subsidio_long.csv
Valores control tarifa presupuesto base,OK,Hualqui->La Leonera: 320.0; Hualqui->Concepción: 330.0; Hualqui->UTFSM: 340.0; Concepción->UTFSM: 300.0; Hualqui->Los Canelos: 560.0; Hito Galvarino->Hualqui: 370.0
Matriz estudiante tiene 26 estaciones,OK,Estaciones: 26
Matriz estudiante tiene 676 pares OD,OK,Pares: 676
Matriz estudiante tiene 600 tarifas disponibles,OK,Disponibles: 600
Matriz estudiante tiene 76 pares sin tarifa,OK,Sin tarifa: 76
Venta media_superior considera diagonal,OK,"Venta MS: 625,333,228"
Ingreso teórico estudiante sin subsidio excluye diagonal,OK,"Teórico sin diagonal: 1,149,060,107"
Subsidio estudiante usa diferencia agregada oficial,OK,"Subsidio estudiante: 523,726,879"
Brecha OD estudiante sólo diagnóstica,OK,"Brecha OD diagnóstica: 531,183,764"
Sin brechas negativas diagnósticas,OK,Brecha mínima: 0.000000
Diagonal brecha estudiante diagnóstica en cero,OK,Suma diagonal: 0.000000
Subsidio normal no negativo,OK,"Subsidio normal: 1,449,965,634"
Subsidio estudiante no negativo,OK,"Subsidio estudiante: 523,726,879"
Subsidio total consistente,OK,"Total: 1,973,692,513"
Ingreso total Biotren consistente,OK,"Ingreso total: 8,741,483,199"
Biotren financiero vigente ingreso_venta,OK,"Calculado: 6,767,790,687; referencia: 6,767,790,687"
Biotren financiero vigente subsidio_normal,OK,"Calculado: 1,449,965,634; referencia: 1,449,965,634"
Biotren financiero vigente subsidio_estudiante,OK,"Calculado: 523,726,879; referencia: 523,726,879"
Biotren financiero vigente subsidio_total,OK,"Calculado: 1,973,692,513; referencia: 1,973,692,513"
Biotren financiero vigente ingreso_total_biotren,OK,"Calculado: 8,741,483,199; referencia: 8,741,483,199"
Ingreso estudiante corregido iguala teórico sin subsidio,OK,Diferencia: 0
Advertencia pares media_superior con tarifa faltante,OK,Pares con viajes y sin tarifa: 0
Biotren conserva total ajustado en capas financieras,OK,"Viajes: 13,095,299"
Streamlit sin montos financieros anuales hardcodeados,OK,Montos referenciales no encontrados en streamlit_app.py
Streamlit usa vista ejecutiva Biotren con corte de flujo,OK,Biotren llama render_biotren_ejecutivo y retorna antes de los bloques genéricos
Streamlit Biotren sin llamados ni rótulos redundantes,OK,Texto redundante no encontrado
Streamlit muestra pax/servicio comercial como indicador principal,OK,Rótulo principal encontrado
Base referencial de subsidio en memoria,OK,Filas agregadas: 36; columnas de monto: ninguna
Exportación tipo tarjeta en modo muestra sin outputs completos,OK,Viajes: 729; ingresos: 729; archivos escritos: 0
Backtesting histórico por servicio,OK,Servicios: 4; meses comparados: 94; advertencias: 8
Bandas de incertidumbre sobre base recalibrada,OK,"Filas mensuales: 48; total base bandas: 14,857,757; sin valores negativos"
Carga de Streamlit,OK,Excepciones detectadas: 0
Archivos de salida principales,OK,Faltantes: ninguno
