servicio,total_anterior,total_recalibrado,diferencia_absoluta,diferencia_porcentual,motivo_principal_ajuste
BIOTREN,12991161.62555808,13095299.0,104137.37444191985,0.8016017154081512,"validación operacional por ocupación promedio, revisión estival y oferta mensual"
CORTO_LAJA,540841.1987131999,540841.1987131998,-1.1641532182693481e-10,-2.220446049250313e-14,sin ajuste específico nuevo
TREN_ARAUCANIA,809484.15379617,809484.15379617,0.0,0.0,Victoria-Temuco 11 servicios LV y suavizamiento de marzo
LLANQUIHUE_PM,420852.0564,412132.00255620386,-8720.053843796137,-2.071999818270609,promedio laboral marzo-diciembre y menor efecto novedad estival
