periodo,mes,BIOTREN,participacion_bloque_marzo_abril,criterio_ajuste
2027-03,3,1253832,0.5020000616573908,"Bloque marzo-abril nivelado para Biotren: 50,2% marzo y 49,8% abril; total anual y suma del bloque se mantienen."
2027-04,4,1243841,0.4979999383426093,"Bloque marzo-abril nivelado para Biotren: 50,2% marzo y 49,8% abril; total anual y suma del bloque se mantienen."
