mes,servicio,proyeccion_anterior,proyeccion_recalibrada,proyeccion_vigente_pre_redistribucion,diferencia,factor_o_ajuste_aplicado,periodo
1,CORTO_LAJA,59517.65763340037,59517.65763340037,,0.0,sin_ajuste_especifico_nuevo,2027-01
2,CORTO_LAJA,64719.33337351569,64719.33337351569,,0.0,sin_ajuste_especifico_nuevo,2027-02
3,CORTO_LAJA,45594.09978389606,45594.09978389606,,0.0,sin_ajuste_especifico_nuevo,2027-03
4,CORTO_LAJA,42279.826367235495,42279.826367235495,,0.0,sin_ajuste_especifico_nuevo,2027-04
5,CORTO_LAJA,38476.65355746274,38476.65355746274,,0.0,sin_ajuste_especifico_nuevo,2027-05
6,CORTO_LAJA,34098.295592820105,34098.295592820105,,0.0,sin_ajuste_especifico_nuevo,2027-06
7,CORTO_LAJA,37539.84369775556,37539.84369775556,,0.0,sin_ajuste_especifico_nuevo,2027-07
8,CORTO_LAJA,38392.680916725614,38392.680916725614,,0.0,sin_ajuste_especifico_nuevo,2027-08
9,CORTO_LAJA,39690.76224893288,39690.76224893288,,0.0,sin_ajuste_especifico_nuevo,2027-09
10,CORTO_LAJA,45672.91042623081,45672.91042623081,,0.0,sin_ajuste_especifico_nuevo,2027-10
11,CORTO_LAJA,46636.64071580046,46636.64071580046,,0.0,sin_ajuste_especifico_nuevo,2027-11
12,CORTO_LAJA,48222.49439942409,48222.49439942409,,0.0,sin_ajuste_especifico_nuevo,2027-12
