,BIOTREN,CORTO_LAJA,TREN_ARAUCANIA,LLANQUIHUE_PM
2027-01,951782,59518,54946,47651
2027-02,868984,64719,59333,48013
2027-03,1234161,45594,80869,33079
2027-04,1216879,42280,86627,33124
2027-05,1124255,38477,74371,30352
2027-06,1037187,34098,61996,29710
2027-07,1047198,37540,73311,31596
2027-08,1133554,38393,72875,32207
2027-09,1072602,39691,62866,31218
2027-10,1173081,45673,71626,30312
2027-11,1137768,46637,73183,31593
2027-12,1097848,48222,62145,33277
