,BIOTREN,CORTO_LAJA,TREN_ARAUCANIA,LLANQUIHUE_PM
2027-01,790812,50721,46821,56675
2027-02,728886,55843,49735,57691
2027-03,1102425,38896,81429,30565
2027-04,1130184,35976,72500,34015
2027-05,1066433,32287,54664,31272
2027-06,895612,29547,51392,27179
2027-07,895607,32273,59696,32972
2027-08,995000,32872,60631,23449
2027-09,959115,33643,54200,27774
2027-10,1062179,38303,62896,31874
2027-11,986143,38925,63741,32298
2027-12,916243,39992,52058,34762
