origen,destino,tarifa_estudiante_bt_sin_subsidio,es_diagonal,origen_en_modelo,destino_en_modelo,tarifa_disponible,fuente
La Leonera,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Costa Mar,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Huinca,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Cristo Redentor,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Laguna Quiñenco,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Intermodal Coronel,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Hualqui,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,La Leonera,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Manquimávida,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Pedro Medina,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Chiguayante,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
