origen,destino,tarifa_versionada_anterior,tarifa_presupuesto_2026_normalizada,diferencia_nueva_menos_anterior
Lorenzo Arenas,Chiguayante,510,320,-190
Lorenzo Arenas,Concepción,420,290,-130
Lorenzo Arenas,UTFSM,500,300,-200
Lorenzo Arenas,Los Cóndores,500,320,-180
Lorenzo Arenas,Higueras,500,320,-180
Lorenzo Arenas,El Arenal,540,310,-230
Lorenzo Arenas,Mercado,540,330,-210
Lorenzo Arenas,Juan Pablo II,570,340,-230
Lorenzo Arenas,Diagonal Biobío,570,350,-220
Lorenzo Arenas,Alborada,570,350,-220
Lorenzo Arenas,Costa Mar,570,350,-220
Lorenzo Arenas,El Parque,570,350,-220
Lorenzo Arenas,Lomas Coloradas,570,350,-220
Lorenzo Arenas,C. Raúl Silva H.,570,350,-220
Lorenzo Arenas,Hito Galvarino,850,350,-500
Lorenzo Arenas,Los Canelos,850,530,-320
Lorenzo Arenas,Huinca,850,530,-320
Lorenzo Arenas,Cristo Redentor,850,530,-320
Lorenzo Arenas,Laguna Quiñenco,880,530,-350
Lorenzo Arenas,Intermodal Coronel,880,540,-340
UTFSM,Hualqui,560,340,-220
UTFSM,La Leonera,540,320,-220
UTFSM,Manquimávida,540,320,-220
UTFSM,Pedro Medina,540,320,-220
UTFSM,Chiguayante,540,320,-220
UTFSM,Concepción,500,300,-200
UTFSM,Lorenzo Arenas,500,300,-200
UTFSM,Los Cóndores,420,310,-110
UTFSM,Higueras,420,310,-110
UTFSM,El Arenal,490,310,-180
UTFSM,Mercado,490,330,-160
UTFSM,Juan Pablo II,560,350,-210
UTFSM,Diagonal Biobío,560,360,-200
UTFSM,Alborada,560,360,-200
UTFSM,Costa Mar,590,360,-230
UTFSM,El Parque,590,360,-230
UTFSM,Lomas Coloradas,590,360,-230
UTFSM,C. Raúl Silva H.,590,360,-230
UTFSM,Hito Galvarino,870,360,-510
UTFSM,Los Canelos,870,540,-330
UTFSM,Huinca,880,530,-350
UTFSM,Cristo Redentor,880,530,-350
UTFSM,Laguna Quiñenco,900,540,-360
UTFSM,Intermodal Coronel,900,550,-350
Los Cóndores,Hualqui,560,350,-210
Los Cóndores,La Leonera,540,330,-210
Los Cóndores,Manquimávida,540,330,-210
Los Cóndores,Pedro Medina,540,330,-210
Los Cóndores,Chiguayante,540,330,-210
Los Cóndores,Concepción,500,320,-180
Los Cóndores,Lorenzo Arenas,500,320,-180
Los Cóndores,UTFSM,420,310,-110
Los Cóndores,Higueras,420,290,-130
Los Cóndores,El Arenal,490,290,-200
Los Cóndores,Mercado,490,310,-180
Los Cóndores,Juan Pablo II,560,330,-230
Los Cóndores,Diagonal Biobío,560,350,-210
Los Cóndores,Alborada,560,350,-210
Los Cóndores,Costa Mar,590,350,-240
Los Cóndores,El Parque,590,370,-220
Los Cóndores,Lomas Coloradas,590,370,-220
Los Cóndores,C. Raúl Silva H.,590,370,-220
Los Cóndores,Hito Galvarino,870,370,-500
Los Cóndores,Los Canelos,870,540,-330
Los Cóndores,Huinca,880,530,-350
Los Cóndores,Cristo Redentor,880,540,-340
Los Cóndores,Laguna Quiñenco,900,550,-350
Los Cóndores,Intermodal Coronel,900,560,-340
Higueras,Hualqui,560,350,-210
Higueras,La Leonera,540,330,-210
Higueras,Manquimávida,540,330,-210
Higueras,Pedro Medina,540,330,-210
Higueras,Chiguayante,540,330,-210
Higueras,Concepción,500,320,-180
Higueras,Lorenzo Arenas,500,320,-180
Higueras,UTFSM,420,310,-110
Higueras,Los Cóndores,420,290,-130
Higueras,El Arenal,490,290,-200
Higueras,Mercado,490,310,-180
Higueras,Juan Pablo II,560,330,-230
Higueras,Diagonal Biobío,560,350,-210
Higueras,Alborada,560,350,-210
Higueras,Costa Mar,590,350,-240
Higueras,El Parque,590,370,-220
Higueras,Lomas Coloradas,590,370,-220
Higueras,C. Raúl Silva H.,590,370,-220
Higueras,Hito Galvarino,870,370,-500
Higueras,Los Canelos,870,540,-330
Higueras,Huinca,880,530,-350
Higueras,Cristo Redentor,880,540,-340
Higueras,Laguna Quiñenco,900,550,-350
Higueras,Intermodal Coronel,900,560,-340
El Arenal,Hualqui,580,350,-230
El Arenal,La Leonera,550,330,-220
El Arenal,Manquimávida,550,330,-220
El Arenal,Pedro Medina,550,330,-220
El Arenal,Chiguayante,550,330,-220
El Arenal,Concepción,540,310,-230
El Arenal,Lorenzo Arenas,540,310,-230
El Arenal,UTFSM,490,310,-180
El Arenal,Los Cóndores,490,290,-200
El Arenal,Higueras,490,290,-200
El Arenal,Mercado,420,310,-110
El Arenal,Juan Pablo II,560,330,-230
El Arenal,Diagonal Biobío,560,350,-210
El Arenal,Alborada,560,350,-210
El Arenal,Costa Mar,590,350,-240
El Arenal,El Parque,590,370,-220
El Arenal,Lomas Coloradas,590,370,-220
El Arenal,C. Raúl Silva H.,590,370,-220
El Arenal,Hito Galvarino,880,360,-520
El Arenal,Los Canelos,880,530,-350
El Arenal,Huinca,900,540,-360
El Arenal,Cristo Redentor,900,550,-350
El Arenal,Laguna Quiñenco,910,540,-370
El Arenal,Intermodal Coronel,910,550,-360
Mercado,Hualqui,580,360,-220
Mercado,La Leonera,550,340,-210
Mercado,Manquimávida,550,340,-210
Mercado,Pedro Medina,550,340,-210
Mercado,Chiguayante,550,340,-210
Mercado,Concepción,540,330,-210
Mercado,Lorenzo Arenas,540,330,-210
Mercado,UTFSM,490,330,-160
Mercado,Los Cóndores,490,310,-180
Mercado,Higueras,490,310,-180
Mercado,El Arenal,420,310,-110
Mercado,Juan Pablo II,560,310,-250
Mercado,Diagonal Biobío,560,350,-210
Mercado,Alborada,560,350,-210
Mercado,Costa Mar,590,350,-240
Mercado,El Parque,590,370,-220
Mercado,Lomas Coloradas,590,370,-220
Mercado,C. Raúl Silva H.,590,370,-220
Mercado,Hito Galvarino,880,360,-520
Mercado,Los Canelos,880,540,-340
Mercado,Huinca,900,550,-350
Mercado,Cristo Redentor,900,560,-340
Mercado,Laguna Quiñenco,910,550,-360
Mercado,Intermodal Coronel,910,550,-360
Juan Pablo II,Hualqui,600,370,-230
Juan Pablo II,La Leonera,590,360,-230
Juan Pablo II,Manquimávida,590,360,-230
Juan Pablo II,Pedro Medina,590,360,-230
