mes,tipo_pasajero,nombre_visual,viajes_tipo_mes,total_mes,participacion_tipo_mes
10,normal,Normal,14716.0,50284.0,0.29265770423991727
11,adulto_mayor,Adulto mayor,7991.0,50570.0,0.15801858809570893
11,delegacion,Delegación,193.0,50570.0,0.0038164919912991894
11,discapacitado,Discapacitado,1079.0,50570.0,0.021336760925449873
11,estudiante_basica,Estudiante básica,1181.0,50570.0,0.023353767055566542
11,estudiante_media_superior,Estudiante media y superior,9962.0,50570.0,0.1969942653747281
11,funcionario,Funcionario,3640.0,50570.0,0.07197943444730077
11,ida_y_vuelta,Ida y vuelta,11141.0,50570.0,0.22030848329048844
11,normal,Normal,15383.0,50570.0,0.3041922088194582
12,adulto_mayor,Adulto mayor,9258.0,52956.0,0.17482438250623158
12,delegacion,Delegación,95.0,52956.0,0.001793942140645064
12,discapacitado,Discapacitado,1186.0,52956.0,0.022395951355842585
12,estudiante_basica,Estudiante básica,1109.0,52956.0,0.02094191404184606
12,estudiante_media_superior,Estudiante media y superior,9277.0,52956.0,0.1751831709343606
12,funcionario,Funcionario,952.0,52956.0,0.017977188609411585
12,ida_y_vuelta,Ida y vuelta,14145.0,52956.0,0.26710854294130976
12,normal,Normal,16934.0,52956.0,0.31977490747035275
