archivo,mes,hoja,tipo_pasajero,suma_od_sin_totales,control_total_hoja,diferencia
MOD Laja Talcahuano 07-24.xlsx,7,E.BÁSICOS,estudiante_basica,716.0,716.0,0.0
MOD Laja Talcahuano 07-24.xlsx,7,FUNCIONARIOS,funcionario,997.0,997.0,0.0
MOD Laja Talcahuano 07-24.xlsx,7,TOTAL,control_total,43469.0,43469.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,NORMAL,normal,13084.0,13084.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,Adulto Mayor,adulto_mayor,5929.0,5929.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,DISCAPACITADOS,discapacitado,996.0,996.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,DELEG,delegacion,2.0,2.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,IDAYVUELTA,ida_y_vuelta,9619.0,9619.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,Estudiante,estudiante_media_superior,8318.0,8318.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,E.BÁSICOS,estudiante_basica,587.0,587.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,FUNCIONARIOS,funcionario,813.0,813.0,0.0
MOD Laja Talcahuano 08-24.xlsx,8,TOTAL,control_total,39348.0,39348.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,NORMAL,normal,15056.0,15056.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,Adulto Mayor,adulto_mayor,6397.0,6397.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,DISCAPACITADOS,discapacitado,968.0,968.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,DELEG,delegacion,49.0,49.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,IDAYVUELTA,ida_y_vuelta,10361.0,10361.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,Estudiante,estudiante_media_superior,9188.0,9188.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,E.BÁSICOS,estudiante_basica,736.0,736.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,FUNCIONARIOS,funcionario,885.0,885.0,0.0
MOD Laja Talcahuano 09-24.xlsx,9,TOTAL,control_total,43640.0,43640.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,NORMAL,normal,14716.0,14716.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,Adulto Mayor,adulto_mayor,7344.0,7344.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,DISCAPACITADOS,discapacitado,1004.0,1004.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,DELEG,delegacion,97.0,97.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,IDAYVUELTA,ida_y_vuelta,10833.0,10833.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,Estudiante,estudiante_media_superior,9859.0,9859.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,E.BÁSICOS,estudiante_basica,1033.0,1033.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,FUNCIONARIOS,funcionario,5398.0,5398.0,0.0
MOD Laja Talcahuano 10-24.xlsx,10,TOTAL,control_total,50284.0,50284.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,NORMAL,normal,15383.0,15383.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,Adulto Mayor,adulto_mayor,7991.0,7991.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,DISCAPACITADOS,discapacitado,1079.0,1079.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,DELEG,delegacion,193.0,193.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,IDAYVUELTA,ida_y_vuelta,11141.0,11141.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,Estudiante,estudiante_media_superior,9962.0,9962.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,E.BÁSICOS,estudiante_basica,1181.0,1181.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,FUNCIONARIOS,funcionario,3640.0,3640.0,0.0
MOD Laja Talcahuano 11-24.xlsx,11,TOTAL,control_total,50570.0,50570.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,NORMAL,normal,16934.0,16934.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,Adulto Mayor,adulto_mayor,9258.0,9258.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,DISCAPACITADOS,discapacitado,1186.0,1186.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,DELEG,delegacion,95.0,95.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,IDAYVUELTA,ida_y_vuelta,14145.0,14145.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,Estudiante,estudiante_media_superior,9277.0,9277.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,E.BÁSICOS,estudiante_basica,1109.0,1109.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,FUNCIONARIOS,funcionario,952.0,952.0,0.0
MOD Laja Talcahuano 12-24.xlsx,12,TOTAL,control_total,52956.0,52956.0,0.0
