tipo_pasajero,matriz_tarifaria_aplicada,origen,destino,tarifa
normal,Matriz Tarifaria Adulto,UTFSM,Higueras,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,UTFSM,UTFSM,0.0
normal,Matriz Tarifaria Adulto,UTFSM,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Concepción,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,UTFSM,La Leonera,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Hualqui,580.0
normal,Matriz Tarifaria Adulto,UTFSM,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,UTFSM,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,UTFSM,Unihue,1360.0
normal,Matriz Tarifaria Adulto,UTFSM,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,UTFSM,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,UTFSM,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,UTFSM,Gomero,1360.0
normal,Matriz Tarifaria Adulto,UTFSM,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,UTFSM,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,UTFSM,Laja,2270.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Mercado,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Higueras,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Lorenzo Arenas,0.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Concepción,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Unihue,1360.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Lorenzo Arenas,Laja,2270.0
normal,Matriz Tarifaria Adulto,Concepción,Mercado,580.0
normal,Matriz Tarifaria Adulto,Concepción,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Concepción,Higueras,580.0
normal,Matriz Tarifaria Adulto,Concepción,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Concepción,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Concepción,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Concepción,Concepción,0.0
normal,Matriz Tarifaria Adulto,Concepción,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Concepción,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Concepción,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Concepción,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Concepción,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Concepción,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,Concepción,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,Concepción,Unihue,1360.0
normal,Matriz Tarifaria Adulto,Concepción,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,Concepción,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,Concepción,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,Concepción,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Concepción,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Concepción,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Concepción,Laja,2270.0
normal,Matriz Tarifaria Adulto,Chiguayante,Mercado,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Higueras,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Concepción,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Chiguayante,0.0
normal,Matriz Tarifaria Adulto,Chiguayante,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Chiguayante,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,Chiguayante,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,Chiguayante,Unihue,1360.0
normal,Matriz Tarifaria Adulto,Chiguayante,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,Chiguayante,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,Chiguayante,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,Chiguayante,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Chiguayante,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Chiguayante,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Chiguayante,Laja,2270.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Mercado,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Higueras,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Concepción,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Pedro Medina,0.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Quilacoya,1080.0
normal,Matriz Tarifaria Adulto,Pedro Medina,San Miguel,1080.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Unihue,1250.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Valle Chanco,1250.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Pedro Medina,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Pedro Medina,Laja,2270.0
normal,Matriz Tarifaria Adulto,Manquimávida,Mercado,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Higueras,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Concepción,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Manquimávida,0.0
normal,Matriz Tarifaria Adulto,Manquimávida,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Manquimávida,Quilacoya,1080.0
normal,Matriz Tarifaria Adulto,Manquimávida,San Miguel,1080.0
normal,Matriz Tarifaria Adulto,Manquimávida,Unihue,1250.0
normal,Matriz Tarifaria Adulto,Manquimávida,Valle Chanco,1250.0
normal,Matriz Tarifaria Adulto,Manquimávida,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,Manquimávida,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,Manquimávida,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Manquimávida,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Manquimávida,San Rosendo,2270.0
