anio_base,mes,periodo_base,tipo_pasajero,nombre_visual,origen,destino,viajes_observados
2024,1,2024-01,normal,Normal,Los Cóndores,Los Acacios,3.0
2024,1,2024-01,normal,Normal,Los Cóndores,Talcamávida,7.0
2024,1,2024-01,normal,Normal,Los Cóndores,Gomero,0.0
2024,1,2024-01,normal,Normal,Los Cóndores,Buenuraqui,3.0
2024,1,2024-01,normal,Normal,Los Cóndores,San Rosendo,11.0
2024,1,2024-01,normal,Normal,Los Cóndores,Laja,32.0
2024,1,2024-01,normal,Normal,UTFSM,Mercado,0.0
2024,1,2024-01,normal,Normal,UTFSM,El Arenal,0.0
2024,1,2024-01,normal,Normal,UTFSM,Higueras,0.0
2024,1,2024-01,normal,Normal,UTFSM,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,UTFSM,UTFSM,0.0
2024,1,2024-01,normal,Normal,UTFSM,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,UTFSM,Concepción,0.0
2024,1,2024-01,normal,Normal,UTFSM,Chiguayante,1.0
2024,1,2024-01,normal,Normal,UTFSM,Pedro Medina,1.0
2024,1,2024-01,normal,Normal,UTFSM,Manquimávida,0.0
2024,1,2024-01,normal,Normal,UTFSM,La Leonera,1.0
2024,1,2024-01,normal,Normal,UTFSM,Hualqui,9.0
2024,1,2024-01,normal,Normal,UTFSM,Quilacoya,30.0
2024,1,2024-01,normal,Normal,UTFSM,San Miguel,4.0
2024,1,2024-01,normal,Normal,UTFSM,Unihue,41.0
2024,1,2024-01,normal,Normal,UTFSM,Valle Chanco,8.0
2024,1,2024-01,normal,Normal,UTFSM,Los Acacios,6.0
2024,1,2024-01,normal,Normal,UTFSM,Talcamávida,19.0
2024,1,2024-01,normal,Normal,UTFSM,Gomero,1.0
2024,1,2024-01,normal,Normal,UTFSM,Buenuraqui,3.0
2024,1,2024-01,normal,Normal,UTFSM,San Rosendo,30.0
2024,1,2024-01,normal,Normal,UTFSM,Laja,102.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Mercado,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,El Arenal,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Higueras,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,UTFSM,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Concepción,0.0
