mes,tipo_pasajero,nombre_visual,origen,destino,viajes_observados,participacion_od_tipo_mes
1,normal,Normal,Mercado,Mercado,0.0,0.0
1,normal,Normal,Mercado,El Arenal,0.0,0.0
1,normal,Normal,Mercado,Higueras,0.0,0.0
1,normal,Normal,Mercado,Los Cóndores,1.0,4.736193994506015e-05
1,normal,Normal,Mercado,UTFSM,0.0,0.0
1,normal,Normal,Mercado,Lorenzo Arenas,2.0,9.47238798901203e-05
1,normal,Normal,Mercado,Concepción,37.0,0.0017523917779672256
1,normal,Normal,Mercado,Chiguayante,1.0,4.736193994506015e-05
1,normal,Normal,Mercado,Pedro Medina,0.0,0.0
1,normal,Normal,Mercado,Manquimávida,1.0,4.736193994506015e-05
1,normal,Normal,Mercado,La Leonera,5.0,0.00023680969972530075
1,normal,Normal,Mercado,Hualqui,59.0,0.0027943544567585487
1,normal,Normal,Mercado,Quilacoya,33.0,0.001562944018186985
1,normal,Normal,Mercado,San Miguel,10.0,0.0004736193994506015
1,normal,Normal,Mercado,Unihue,43.0,0.0020365634176375863
1,normal,Normal,Mercado,Valle Chanco,5.0,0.00023680969972530075
1,normal,Normal,Mercado,Los Acacios,28.0,0.0013261343184616842
1,normal,Normal,Mercado,Talcamávida,36.0,0.0017050298380221654
1,normal,Normal,Mercado,Gomero,1.0,4.736193994506015e-05
1,normal,Normal,Mercado,Buenuraqui,6.0,0.0002841716396703609
1,normal,Normal,Mercado,San Rosendo,52.0,0.0024628208771431278
1,normal,Normal,Mercado,Laja,175.0,0.008288339490385526
1,normal,Normal,El Arenal,Mercado,0.0,0.0
1,normal,Normal,El Arenal,El Arenal,0.0,0.0
1,normal,Normal,El Arenal,Higueras,0.0,0.0
1,normal,Normal,El Arenal,Los Cóndores,0.0,0.0
1,normal,Normal,El Arenal,UTFSM,0.0,0.0
1,normal,Normal,El Arenal,Lorenzo Arenas,0.0,0.0
1,normal,Normal,El Arenal,Concepción,14.0,0.0006630671592308421
1,normal,Normal,El Arenal,Chiguayante,2.0,9.47238798901203e-05
1,normal,Normal,El Arenal,Pedro Medina,4.0,0.0001894477597802406
1,normal,Normal,El Arenal,Manquimávida,0.0,0.0
