origen,destino,tarifa_2026
Concepción,C. Raúl Silva H.,190.0
Concepción,Hito Galvarino,280.0
Concepción,Los Canelos,280.0
Concepción,Huinca,280.0
Concepción,Cristo Redentor,280.0
Concepción,Laguna Quiñenco,290.0
Concepción,Intermodal Coronel,290.0
Concepción,Pasajero Lota,0.0
Concepción,Concepción Centro,0.0
Lorenzo Arenas,Hualqui,180.0
Lorenzo Arenas,La Leonera,170.0
Lorenzo Arenas,Manquimávida,170.0
Lorenzo Arenas,Pedro Medina,170.0
Lorenzo Arenas,Chiguayante,170.0
Lorenzo Arenas,Concepción,140.0
Lorenzo Arenas,Lorenzo Arenas,140.0
Lorenzo Arenas,UTFSM,170.0
Lorenzo Arenas,Los Cóndores,170.0
Lorenzo Arenas,Higueras,170.0
Lorenzo Arenas,El Arenal,180.0
Lorenzo Arenas,Mercado,180.0
Lorenzo Arenas,Juan Pablo II,190.0
Lorenzo Arenas,Diagonal Biobío,190.0
Lorenzo Arenas,Alborada,190.0
Lorenzo Arenas,Costa Mar,190.0
Lorenzo Arenas,El Parque,190.0
Lorenzo Arenas,Lomas Coloradas,190.0
Lorenzo Arenas,C. Raúl Silva H.,190.0
Lorenzo Arenas,Hito Galvarino,280.0
Lorenzo Arenas,Los Canelos,280.0
Lorenzo Arenas,Huinca,280.0
Lorenzo Arenas,Cristo Redentor,280.0
Lorenzo Arenas,Laguna Quiñenco,290.0
Lorenzo Arenas,Intermodal Coronel,290.0
Lorenzo Arenas,Pasajero Lota,0.0
Lorenzo Arenas,Concepción Centro,0.0
UTFSM,Hualqui,190.0
UTFSM,La Leonera,180.0
UTFSM,Manquimávida,180.0
UTFSM,Pedro Medina,180.0
UTFSM,Chiguayante,180.0
UTFSM,Concepción,170.0
UTFSM,Lorenzo Arenas,170.0
UTFSM,UTFSM,140.0
UTFSM,Los Cóndores,140.0
UTFSM,Higueras,140.0
UTFSM,El Arenal,160.0
UTFSM,Mercado,160.0
UTFSM,Juan Pablo II,190.0
UTFSM,Diagonal Biobío,190.0
UTFSM,Alborada,190.0
UTFSM,Costa Mar,200.0
UTFSM,El Parque,200.0
UTFSM,Lomas Coloradas,200.0
UTFSM,C. Raúl Silva H.,200.0
UTFSM,Hito Galvarino,290.0
UTFSM,Los Canelos,290.0
UTFSM,Huinca,290.0
UTFSM,Cristo Redentor,290.0
UTFSM,Laguna Quiñenco,300.0
UTFSM,Intermodal Coronel,300.0
UTFSM,Pasajero Lota,0.0
UTFSM,Concepción Centro,0.0
Los Cóndores,Hualqui,190.0
Los Cóndores,La Leonera,180.0
Los Cóndores,Manquimávida,180.0
Los Cóndores,Pedro Medina,180.0
Los Cóndores,Chiguayante,180.0
Los Cóndores,Concepción,170.0
Los Cóndores,Lorenzo Arenas,170.0
Los Cóndores,UTFSM,140.0
Los Cóndores,Los Cóndores,140.0
Los Cóndores,Higueras,140.0
Los Cóndores,El Arenal,160.0
Los Cóndores,Mercado,160.0
Los Cóndores,Juan Pablo II,190.0
Los Cóndores,Diagonal Biobío,190.0
Los Cóndores,Alborada,190.0
Los Cóndores,Costa Mar,200.0
Los Cóndores,El Parque,200.0
Los Cóndores,Lomas Coloradas,200.0
Los Cóndores,C. Raúl Silva H.,200.0
